;question
0;bonjour trompé forum question alors repose ici pris première fois hier paroxétine matin catastrophe picotement dasn tous corps annonciateur sueur froide très très massive vomissement deux crises depuis 5 heure mat cela semble passer mains reste moites chaude estce normal première fois merci NOM_DE_MEDICAMENT tous
1;NOM_DE_MEDICAMENT soulagera contre les nausées
2;médecin NOM_DE_MEDICAMENT prescrit NOM_DE_MEDICAMENT 2ème cachet maux tête terribles 3ème palpitations sueurs froides chaleur intense tête tremblements fourmillements lèvre supérieure difficultés respirer dès arrêt médicament tous les symptômes disparu cela déjà arrivé quelqu
3;est existe forme adaptée enfant 5ans NOM_DE_MEDICAMENT
4;medecin soigne NOM_DE_MEDICAMENT pharingite NOM_DE_MEDICAMENT prescrit NOM_DE_MEDICAMENT comme anti biotique est vraiment cette indication
5;viens apprendre enceinte savez si peux poursuivre NOM_DE_MEDICAMENT
6;atrax dangereux long terme
7;sous mercilon j nausées saignements
8;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT quoi
9;prend NOM_DE_MEDICAMENT fin première plaquette première fois ac mn copain pilule donc bien efficace dès debut douleur poitrine impression ils peu grossi ossi plus mal o bas ventr e dois minkiété simplemen periode dadaptation
10;NOM_DE_MEDICAMENT doses faibles stress
11;psy dit prendre POSOLOGIE NOM_DE_MEDICAMENT matin 50 POSOLOGIE NOM_DE_MEDICAMENT soir peut prendre POSOLOGIE matin NOM_DE_MEDICAMENT midi
12;sous antiobiotique depuis bientot semaine chopée sais quoi nénétte ca gratte superficiel ca démenge point lié antibiotique
13;quel NOM_DE_MEDICAMENT contre cancer col uterus
14;épilepsie NOM_DE_MEDICAMENT
15;vaccins dtpe hépatire NOM_DE_MEDICAMENT ils possible pendant grossesse
16;viens être mis sous NOM_DE_MEDICAMENT depuis 1 semaine souhaitais savoir bout combien injections produit commençait faire effets bout combien jours après chaque injection effets faisaient sentir
17;comment traiter dishydrose si NOM_DE_MEDICAMENT préparation NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT POSOLOGIE 10l NOM_DE_MEDICAMENT bain dermalibour marché
18;peu renseignements NOM_DE_MEDICAMENT pris 1er cachet matin effets indésirables
19;NOM_DE_MEDICAMENT quels risques
20;peut prendre NOM_DE_MEDICAMENT fleurs bach meme temps
21;quand termine plaquette peut avoir raports sexuels
22;quelle durée conservation tégrétol
23;pilule trimordiol fais grossir
24;pendant les 7 jours sans prise fois plaquette 21pilules terminée toujours protégée non pendant cette semaine
25;percutafeine peut être utiliser les hommes
26;patch NOM_DE_MEDICAMENT commencé 4 donc protégée pdt 1 mois
27;combien prendre NOM_DE_MEDICAMENT
28;NOM_DE_MEDICAMENT anxiolytique antidépresseur
29;bonjour depuis presque an sous NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT prescrit NOM_DE_MEDICAMENT cas crise angoisse car fait 2 3 voila depuis 4 jours angoissée matin soir cela sans raison apparente peux presque plus rien avaler tellement nouée alors habitude mange comme vache moindre chose faire semble insurmontable provoque malaises sais plus quoi faire prends NOM_DE_MEDICAMENT jour alors medecin prescrit les crises malgré NOM_DE_MEDICAMENT mega angoissée non stoptout entourage NOM_DE_MEDICAMENT remarqué collègues croient enceinte peur devenir completemment agoraphobe plus medecin vacances sais meme si passer 2 NOM_DE_MEDICAMENT dangereux savez combien temps peut durer type crise quels les risques vois psychlogue depuis premiere crise donc presque an merci lumieres
30;une maman reçoit prescription NOM_DE_MEDICAMENT POSOLOGIE arrow granulés bébé 5 mois demande si cette forme adaptée alors bébé mange encore solide
31;la NOM_DE_MEDICAMENT aide maigrir
32;sensée prendre POSOLOGIE hier pris 300 après avoir pris chaque fois point endormir jentendais plein voix venaient partout possible hallucinations irrégularité prise traitement
33;quels les effets secondaires NOM_DE_MEDICAMENT
34;viens commencer traitement NOM_DE_MEDICAMENT b6 depuis 3 jours gaz puis faire
35;procurer NOM_DE_MEDICAMENT c4
36;la NOM_DE_MEDICAMENT peut provoquer bouffées chaleur
37;NOM_DE_MEDICAMENT NOM_DE_MEDICAMENT urtile anxiété
38;medecin spécialiste gastro NOM_DE_MEDICAMENT préscrit NOM_DE_MEDICAMENT médecin traitant NOM_DE_MEDICAMENT préscit NOM_DE_MEDICAMENT 20 POSOLOGIE hypertension depuis qiue les prends ensemble réaction forme petits points rouges très demengeant ambetant apparus quisse droite arreté NOM_DE_MEDICAMENT les points encore partis après 3 jours faire prendre
